Seasonal cycle from MERRA2 using base period 1980-2015
Year,Anomaly
2004.96,-1.64
2005.04,-1.67
2005.13,-1.56
2005.21,-0.74
2005.29,0.21
2005.38,1.1
2005.46,1.8
2005.54,2.03
2005.63,1.89
2005.71,1.37
2005.79,0.39
2005.88,-0.73
2005.96,-1.47
2006.04,-1.85
2006.13,-1.43
2006.21,-0.85
2006.29,0.01
2006.38,0.96
2006.46,1.82
2006.54,1.96
2006.63,1.99
2006.71,1.31
2006.79,0.33
2006.88,-0.73
2006.96,-1.36
2007.04,-1.39
2007.13,-1.46
2007.21,-0.75
2007.29,0.29
2007.38,1.16
2007.46,1.77
2007.54,2.02
2007.63,1.88
2007.71,1.26
2007.79,0.22
2007.88,-0.87
2007.96,-1.65
2008.04,-2.11
2008.13,-1.78
2008.21,-0.74
2008.29,0.07
2008.38,0.96
2008.46,1.65
2008.54,2.02
2008.63,1.76
2008.71,1.27
2008.79,0.31
2008.88,-0.77
2008.96,-1.61
2009.04,-1.76
2009.13,-1.63
2009.21,-0.94
2009.29,0.14
2009.38,1.12
2009.46,1.81
2009.54,2.16
2009.63,1.97
2009.71,1.38
2009.79,0.29
2009.88,-0.65
2009.96,-1.47
2010.04,-1.66
2010.13,-1.32
2010.21,-0.56
2010.29,0.38
2010.38,1.22
2010.46,1.83
2010.54,2.05
2010.63,1.96
2010.71,1.29
2010.79,0.34
2010.88,-0.64
2010.96,-1.7
2011.04,-1.9
2011.13,-1.68
2011.21,-0.83
2011.29,0.18
2011.38,1.0
2011.46,1.78
2011.54,2.12
2011.63,2.03
2011.71,1.23
2011.79,0.3
2011.88,-0.88
2011.96,-1.55
2012.04,-1.92
2012.13,-1.67
2012.21,-0.9
2012.29,0.25
2012.38,1.25
2012.46,1.8
2012.54,2.0
2012.63,1.93
2012.71,1.38
2012.79,0.42
2012.88,-0.68
2012.96,-1.62
2013.04,-1.71
2013.13,-1.54
2013.21,-0.81
2013.29,0.07
2013.38,1.08
2013.46,1.85
2013.54,2.02
2013.63,1.98
2013.71,1.43
2013.79,0.33
2013.88,-0.62
2013.96,-1.46
2014.04,-1.66
2014.13,-1.61
2014.21,-0.7
2014.29,0.33
2014.38,1.33
2014.46,1.83
2014.54,2.0
2014.63,2.11
2014.71,1.53
2014.79,0.44
2014.88,-0.79
2014.96,-1.37
2015.04,-1.56
2015.13,-1.26
2015.21,-0.52
2015.29,0.28
2015.38,1.27
2015.46,1.97
2015.54,2.15
2015.63,2.09
2015.71,1.5
2015.79,0.73
2015.88,-0.41
2015.96,-1.0
2016.04,-1.24
2016.13,-0.79
2016.21,-0.12
2016.29,0.64
2016.38,1.42
2016.46,1.96
2016.54,2.26
2016.63,2.31
2016.71,1.56
2016.79,0.52
2016.88,-0.56
2016.96,-1.29
2017.04,-1.39
2017.13,-1.02
2017.21,-0.32
2017.29,0.47
2017.38,1.38
2017.46,1.88
2017.54,2.24
2017.63,2.16
2017.71,1.43
2017.79,0.54
2017.88,-0.59
2017.96,-1.22
2018.04,-1.6
2018.13,-1.31
2018.21,-0.6
2018.29,0.41
2018.38,1.29
2018.46,1.93
2018.54,2.25
2018.63,2.05
2018.71,1.46
2018.79,0.65
2018.88,-0.64
2018.96,-1.24
2019.04,-1.48
2019.13,-1.21
2019.21,-0.31
2019.29,0.54
2019.38,1.31
2019.46,2.07
2019.54,2.36
2019.63,2.23
2019.71,1.58
2019.79,0.65
2019.88,-0.46
2019.96,-1.06
2020.04,-1.25
2020.13,-0.92
2020.21,-0.31
2020.29,0.66
2020.38,1.49
2020.46,2.08
2020.54,2.32
2020.63,2.16
2020.71,1.65
2020.79,0.52
2020.88,-0.35
2020.96,-1.34
2021.04,-1.6
2021.13,-1.52
2021.21,-0.59
2021.29,0.29
2021.38,1.26
2021.46,2.01
2021.54,2.34
2021.63,2.1
